./test_lib/openssl/ssl/ssl_lib.c:5358,5358,6399,1
./test_lib/openssl/crypto/o_str.c:23,23,29,1
./test_lib/openssl/crypto/dso/dso_dlfcn.c:246,246,246,1
./test_lib/openssl/crypto/dso/dso_dlfcn.c:248,248,248,1
./test_lib/openssl/test/params_test.c:107,107,111,1
./test_lib/openssl/test/params_test.c:186,186,195,1
./test_lib/openssl/test/params_test.c:338,338,339,1
./test_lib/openssl/test/params_test.c:339,339,340,1
./test_lib/openssl/test/testutil/driver.c:409,409,428,1
./test_lib/openssl/test/params_test.c:179,179,190,1
./test_lib/openssl/fuzz/test-corpus.c:82,82,82,1
./test_lib/openssl/fuzz/test-corpus.c:89,89,89,1
./test_lib/openssl/crypto/engine/eng_ctrl.c:110,110,113,1
./test_lib/openssl/crypto/engine/eng_ctrl.c:115,115,118,1
./test_lib/openssl/crypto/idea/i_skey.c:43,43,50,1
./test_lib/openssl/crypto/idea/i_skey.c:34,34,41,1
./test_lib/openssl/test/clienthellotest.c:107,107,113,1
./test_lib/openssl/crypto/idea/i_skey.c:79,79,86,1
./test_lib/openssl/crypto/idea/i_skey.c:69,69,76,1
./test_lib/openssl/crypto/idea/i_cbc.c:118,118,125,1
./test_lib/openssl/test/dtls_mtu_test.c:162,162,165,1
./test_lib/openssl/test/cipherlist_test.c:211,211,207,1
./test_lib/openssl/test/cipherlist_test.c:227,227,222,1
./test_lib/openssl/test/sslapitest.c:333,333,374,1
./test_lib/openssl/test/bftest.c:356,356,357,1
./test_lib/openssl/test/bftest.c:382,382,383,1
./test_lib/openssl/test/bftest.c:414,414,415,1
./test_lib/openssl/crypto/aria/aria.c:616,616,616,1
./test_lib/openssl/crypto/aria/aria.c:599,599,599,1
./test_lib/openssl/apps/lib/app_params.c:90,90,90,1
./test_lib/openssl/test/asn1_dsa_internal_test.c:136,136,-1,0   // Removed
./test_lib/openssl/test/ecdsatest.c:137,137,115,1
./test_lib/openssl/test/params_test.c:103,103,107,1
./test_lib/openssl/test/srptest.c:148,148,154,1
./test_lib/openssl/test/ectest.c:166,166,179,1
./test_lib/openssl/crypto/evp/e_chacha20_poly1305.c:188,188,190,1
./test_lib/openssl/test/sm2_internal_test.c:214,214,214,1
./test_lib/openssl/test/param_build_test.c:253,253,-1,0 //Removed
./test_lib/openssl/test/v3nametest.c:295,295,293,1
./test_lib/openssl/test/test_test.c:317,317,317,1
./test_lib/openssl/apps/passwd.c:483,483,473,1
./test_lib/openssl/test/params_test.c:335,335,336,1
./test_lib/openssl/test/sm2_internal_test.c:336,336,376,1
./test_lib/openssl/test/bftest.c:338,338,339,1
./test_lib/openssl/test/test_test.c:427,427,427,1
./test_lib/openssl/crypto/ts/ts_rsp_verify.c:478,478,383,1
./test_lib/openssl/test/ectest.c:828,828,802,1
./test_lib/openssl/test/ectest.c:979,979,950,1
./test_lib/openssl/test/ectest.c:1179,1179,1186,1
./test_lib/openssl/test/bntest.c:1727,1727,1993,1
./test_lib/openssl/test/bntest.c:1796,1796,2062,1
./test_lib/openssl/test/bntest.c:1880,1880,2146,1
./test_lib/openssl/test/bntest.c:1865,1865,2131,1
./test_lib/openssl/test/ectest.c:2204,2204,2137,1
./test_lib/openssl/test/bntest.c:2707,2707,2973,1
./test_lib/openssl/test/bntest.c:2741,2741,3007,1
./test_lib/openssl/crypto/asn1/a_time.c:238,238,240,1


./test_lib/tmux/layout-custom.c:66,66,66,1
./test_lib/tmux/utf8.c:175,175,-1,0 // Removed
./test_lib/tmux/input.c:1002,1002,1036,1
./test_lib/tmux/tty.c:2374,2374,2714,1
./test_lib/tmux/tty.c:2424,2424,2764,1
./test_lib/tmux/style.c:159,159,168,1
./test_lib/tmux/input-keys.c:309,309,-1,0 // Removed
./test_lib/tmux/tmux.c:124,124,-1,0 // Removed
./test_lib/tmux/tmux.c:182,182,295,1
./test_lib/tmux/tmux.c:184,184,297,1
./test_lib/tmux/osdep-linux.c:51,51,50,1

./test_lib/openssh-portable/misc.c:1872,1872,2185,1
./test_lib/openssh-portable/misc.c:1877,1877,2190,1
./test_lib/openssh-portable/readpass.c:87,87,87,1
./test_lib/openssh-portable/ssh-keygen.c:601,601,616,1
./test_lib/openssh-portable/openbsd-compat/blowfish.c:110,110,107,1
./test_lib/openssh-portable/openbsd-compat/glob.c:617,617,621,1
./test_lib/openssh-portable/sc25519.c:77,77,77,1
./test_lib/openssh-portable/openbsd-compat/blowfish.c:85,85,82,1
./test_lib/openssh-portable/smult_curve25519_ref.c:171,171,171,1
./test_lib/openssh-portable/smult_curve25519_ref.c:161,161,161,1
./test_lib/openssh-portable/smult_curve25519_ref.c:195,195,195,1
./test_lib/openssh-portable/openbsd-compat/sha2.c:427,427,427,1
./test_lib/openssh-portable/openbsd-compat/sha2.c:415,415,415,1
./test_lib/openssh-portable/openbsd-compat/blowfish.c:447,447,444,1
./test_lib/openssh-portable/openbsd-compat/blowfish.c:455,455,452,1
./test_lib/openssh-portable/openbsd-compat/blowfish.c:488,488,485,1
./test_lib/openssh-portable/openbsd-compat/blowfish.c:498,498,495,1
./test_lib/openssh-portable/openbsd-compat/sha2.c:708,708,708,1
./test_lib/openssh-portable/openbsd-compat/sha2.c:696,696,696,1
./test_lib/openssh-portable/sshkey.c:3978,3978,2783,1
